timestamp,latency_ms,status_code,success,error,tokens_used
1781088646.133024,2471.078872680664,200,True,,167
1781088649.134219,2223.0751514434814,200,True,,167
1781088652.135351,2588.934898376465,200,True,,167
1781088649.605164,5287.698984146118,200,True,,818
1781088655.136411,2111.103057861328,200,True,,119
1781088653.3604832,6462.995767593384,200,True,,809
1781088658.137681,2363.8880252838135,200,True,,108
1781088655.8936808,5074.595212936401,200,True,,432
1781088657.7254899,4762.790203094482,200,True,,689
1781088661.138189,2812.2849464416504,200,True,,108
1781088661.969462,5211.454153060913,200,True,,729
1781088662.502594,4780.039072036743,200,True,,701
1781088661.8242922,6428.391933441162,200,True,,496
1781088658.248499,10294.863224029541,200,True,,765
1781088668.182119,2292.1102046966553,200,True,,282
1781088666.951104,5136.983156204224,200,True,,773
1781088664.139041,8659.111976623535,200,True,,167
1781088670.141283,2891.658067703247,200,True,,119
1781088667.140233,6823.88973236084,200,True,,108
1781088669.2835479,4848.185062408447,200,True,,445
1781088673.1424809,1933.1660270690918,200,True,,167
1781088670.254007,5680.566072463989,200,True,,806
1781088665.488907,10447.220802307129,200,True,,546
1781088673.799347,4728.928089141846,200,True,,751
1781088675.9644501,3966.0208225250244,200,True,,573
1781088675.090513,4845.929145812988,200,True,,500
1781088669.544584,10392.132043838501,200,False,"HTTP200|{""code"":100,""data"":null,""message"":""ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\\'dashsc",
1781088671.4754,9114.089012145996,200,True,,397
1781088678.9374452,4357.236862182617,200,True,,591
1781088679.529541,5238.006830215454,200,True,,516
1781088677.935839,7179.403066635132,200,True,,239
1781088680.93786,4356.473922729492,200,True,,734
1781088676.034147,9261.38186454773,200,True,,771
1781088681.590505,4366.6651248931885,200,True,,497
1781088676.132988,11296.751976013184,200,True,,1038
1781088686.295573,2757.5721740722656,200,True,,239
1781088676.076895,13181.035041809082,200,True,,574
1781088686.296128,3060.6160163879395,200,True,,201
1781088687.1164212,4735.278844833374,200,True,,410
1781088685.76774,6084.130048751831,200,True,,1025
1781088681.932045,10232.733011245728,200,True,,507
1781088682.9367611,9436.02991104126,200,True,,727
1781088690.053896,2563.5640621185303,200,True,,289
1781088692.357328,2565.8140182495117,200,True,,287
1781088686.958987,8335.132837295532,200,True,,584
1781088689.431116,6228.607892990112,200,True,,239
1781088696.295297,3177.7901649475098,200,True,,179
1781088690.259136,9216.078042984009,200,True,,402
1781088695.3739789,4794.986963272095,200,True,,582
1781088693.8529449,8613.263130187988,200,True,,456
1781088693.61851,9330.467939376831,200,True,,345
1781088694.165324,8788.359880447388,200,True,,708
1781088688.2960918,14679.409265518188,200,True,,428
1781088700.474334,2772.0539569854736,200,True,,305
1781088697.6606479,6495.819091796875,200,True,,294
1781088692.853142,12004.908084869385,200,True,,239
1781088697.924345,6962.172985076904,200,True,,445
1781088700.475344,4524.632930755615,200,True,,873
1781088703.169815,2748.3341693878174,200,True,,271
1781088704.954039,2161.324977874756,200,True,,201
1781088706.001205,2520.5812454223633,200,True,,239
1781088703.950161,4582.894086837769,200,True,,741
1781088704.247627,5803.092002868652,200,True,,119
1781088705.860472,4192.711114883423,200,True,,378
1781088705.976695,4506.627082824707,200,True,,720
1781088709.116257,3096.8682765960693,200,True,,289
1781088708.919209,3758.4750652313232,200,True,,453
1781088707.8872461,4793.229818344116,200,True,,714
1781088704.467662,10190.593004226685,200,True,,756
1781088711.0535228,3621.028184890747,200,True,,418
1781088706.1576982,9177.741765975952,200,True,,424
1781088711.052495,5071.128845214844,200,True,,706
1781088714.214292,3963.9039039611816,200,True,,457
1781088716.659499,2454.4060230255127,200,True,,135
1781088709.53406,10167.500019073486,200,False,"HTTP200|{""code"":100,""data"":null,""message"":""ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\\'dashsc",
1781088713.484673,6598.451852798462,200,True,,201
1781088717.336592,3711.434841156006,200,True,,694
1781088717.1247969,5627.045154571533,200,True,,514
1781088709.523536,13266.83521270752,200,True,,288
1781088720.702949,3029.510974884033,200,True,,305
1781088715.680879,8808.781862258911,200,True,,123
1781088720.178942,5348.708152770996,200,True,,601
1781088715.675273,9970.095157623291,200,True,,614
1781088723.79157,3835.6170654296875,200,True,,430
1781088721.115131,7775.513172149658,200,True,,304
1781088727.5290601,2308.663845062256,200,True,,120
1781088723.049247,6910.582065582275,200,True,,98
1781088715.678195,14379.048824310303,200,True,,756
1781088723.084338,7334.98215675354,200,True,,398
1781088723.753796,6990.105867385864,200,True,,1120
1781088726.6465569,4458.202123641968,200,True,,141
1781088728.628366,4369.415998458862,200,True,,574
1781088724.7328498,10241.125106811523,200,False,"HTTP200|{""code"":100,""data"":null,""message"":""ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\\'dashsc",
1781088733.9981608,1730.7629585266113,200,True,,82
1781088731.745167,6074.646949768066,200,True,,201
1781088730.891839,6966.745138168335,200,True,,119
1781088727.492182,10367.09713935852,200,False,"HTTP200|{""code"":100,""data"":null,""message"":""ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\\'dashsc",
1781088731.961005,7941.139936447144,200,True,,308
1781088736.730146,3269.7911262512207,200,True,,304
1781088733.058479,7526.002883911133,200,True,,134
1781088733.4207842,7586.737871170044,200,True,,216
1781088738.823678,3130.0888061523438,200,True,,235
1781088731.838546,10122.905969619751,200,False,"HTTP200|{""code"":100,""data"":null,""message"":""ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\\'dashsc",
1781088732.105797,10026.232957839966,200,False,"HTTP200|{""code"":100,""data"":null,""message"":""ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\\'dashsc",
1781088741.001015,1745.8100318908691,200,True,,108
1781088739.859403,4028.722047805786,200,True,,597
1781088735.975175,8648.194074630737,200,True,,616
1781088741.903442,3007.6560974121094,200,True,,167
1781088742.955112,2347.9950428009033,200,True,,282
1781088740.860516,6004.596948623657,200,True,,163
1781088743.1327202,7043.533802032471,200,True,,119
1781088743.9632692,6723.511695861816,200,True,,215
1781088743.585524,8221.441984176636,200,True,,305
1781088745.624597,6254.693031311035,200,True,,583
1781088744.008456,9677.42109298706,200,True,,606
1781088743.747318,10029.598951339722,200,False,"HTTP200|{""code"":100,""data"":null,""message"":""ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\\'dashsc",
1781088749.866318,4698.153018951416,200,True,,645
1781088745.889318,8676.552057266235,200,True,,489
1781088746.911409,8616.221189498901,200,True,,646
1781088746.303989,10043.803930282593,200,False,"HTTP200|{""code"":100,""data"":null,""message"":""ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\\'dashsc",
1781088751.178043,8739.721298217773,200,True,,672
1781088754.778083,5430.941820144653,200,True,,583
1781088756.687066,3522.783041000366,200,True,,112
1781088756.567071,5855.8690547943115,200,True,,713
1781088754.807853,7634.068012237549,200,True,,108
1781088757.348465,5190.258026123047,200,True,,167
1781088752.688215,10448.630094528198,200,True,,777
1781088752.880468,10359.342098236084,200,True,,793
1781088757.530709,5751.217842102051,200,True,,434
1781088760.918883,3737.16402053833,200,True,,429
1781088761.21017,4274.479866027832,200,True,,678
1781088763.539926,3104.3169498443604,200,True,,304
1781088764.424384,2229.909896850586,200,True,,240
1781088757.565758,9273.802042007446,200,True,,426
1781088766.485814,2386.5368366241455,200,True,,201
1781088767.6447139,2060.7590675354004,200,True,,108
1781088763.211041,8281.637907028198,200,True,,304
1781088765.656875,5836.121082305908,200,True,,797
1781088764.240916,10831.585884094238,200,True,,239
1781088765.283158,11956.408023834229,200,True,,936
1781088769.87425,8328.129053115845,200,True,,389
1781088765.138035,13712.915897369385,200,True,,489
1781088765.443248,13477.711915969849,200,True,,715
1781088769.840756,9287.19425201416,200,True,,932
1781088768.6556458,10500.163078308105,200,True,,309
1781088774.4929001,4689.913749694824,200,True,,119
1781088772.494195,7408.194065093994,200,True,,225
1781088776.07376,4617.14506149292,200,True,,276
1781088770.7066398,10987.69211769104,200,True,,798
1781088779.203607,3926.645040512085,200,True,,453
1781088780.852113,3628.296136856079,200,True,,679
1781088781.692085,3232.1178913116455,200,True,,459
1781088780.9031832,4051.466941833496,200,True,,385
1781088779.240133,5985.420942306519,200,True,,201
1781088781.922178,4781.44097328186,200,True,,441
1781088784.1327832,4781.038761138916,200,True,,670
1781088781.156995,8665.105819702148,200,True,,482
1781088782.129566,8287.928104400635,200,True,,239
1781088786.4816158,3940.030336380005,200,True,,239
1781088785.9254458,5655.461311340332,200,True,,712
1781088782.183984,10291.903018951416,200,False,"HTTP200|{""code"":100,""data"":null,""message"":""ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\\'dashsc",
1781088789.915018,2570.4758167266846,200,True,,98
1781088782.695594,10861.217975616455,200,True,,598
1781088785.9558752,8416.085958480835,200,True,,491
1781088787.2352908,7145.334243774414,200,True,,292
1781088789.704117,4676.745891571045,200,True,,814
1781088792.422372,2951.415777206421,200,True,,290
1781088792.582071,2919.6269512176514,200,True,,123
1781088794.5579672,4247.68590927124,200,True,,550
1781088796.380971,3279.0889739990234,200,True,,357
1781088795.3726652,4300.863981246948,200,True,,581
1781088797.381759,2710.639238357544,200,True,,239
1781088795.476192,5180.783987045288,200,True,,459
1781088791.8230379,9479.673147201538,200,True,,566
1781088793.486518,7821.938037872314,200,True,,305
1781088793.419167,8335.64305305481,200,True,,249
1781088797.374984,4380.481004714966,200,True,,454
1781088799.805875,1995.460033416748,200,True,,239
1781088800.6746502,2435.3127479553223,200,True,,82
1781088796.502604,6730.2210330963135,200,True,,304
1781088802.3086772,1980.5288314819336,200,True,,119
1781088803.0944881,3483.1817150115967,200,True,,300
1781088801.661249,4924.690961837769,200,True,,650
1781088804.23402,2691.0622119903564,200,True,,167
1781088804.111166,3353.05118560791,200,True,,305
1781088803.756625,5246.444940567017,200,True,,717
1781088804.755219,4784.828901290894,200,True,,453
1781088803.303915,6248.52991104126,200,True,,80
1781088802.8024771,7137.354850769043,200,True,,289
1781088805.28988,5144.783973693848,200,True,,716
1781088808.4651678,2105.7441234588623,200,True,,120
1781088808.587539,3160.1269245147705,200,True,,123
1781088803.6581938,9094.854354858398,200,True,,708
1781088810.941067,2990.6020164489746,200,True,,345
1781088811.0043352,3599.0347862243652,200,True,,140
1781088811.435843,4971.904039382935,200,True,,525
1781088813.7499352,3124.59397315979,200,True,,304
1781088809.5788338,7823.811292648315,200,True,,457
1781088815.754244,2156.4109325408936,200,True,,239
1781088816.6037,2744.748115539551,200,True,,304
1781088811.553695,8361.400127410889,200,True,,305
1781088814.9328399,4994.323968887329,200,True,,698
1781088818.875749,2360.2707386016846,200,True,,145
1781088812.541245,8698.681116104126,200,True,,584
1781088807.92639,15107.523202896118,200,True,,747
1781088811.5721338,11462.529182434082,200,True,,685
1781088821.915463,1665.2860641479492,200,True,,108
1781088820.9118562,3309.7548484802246,200,True,,276
1781088820.403869,5729.509115219116,200,True,,835
1781088820.928413,6319.103002548218,200,True,,80
1781088821.3496609,6396.9831466674805,200,True,,149
1781088823.237227,5169.337034225464,200,True,,754
1781088824.0350888,5248.1372356414795,200,True,,533
1781088824.035472,5289.463996887207,200,True,,481
1781088827.22283,3854.9489974975586,200,True,,446
1781088828.248652,2846.4980125427246,200,True,,304
1781088829.1345868,2055.227279663086,200,True,,98
1781088824.24035,7497.905969619751,200,True,,191
1781088817.408303,15570.347785949707,200,True,,1067
1781088832.096284,3173.5360622406006,200,True,,215
1781088830.2844338,5018.494129180908,200,True,,824
1781088825.581918,9721.28415107727,200,True,,788
1781088830.326827,4993.26491355896,200,True,,798
1781088833.97981,2492.7539825439453,200,True,,239
1781088834.7401102,3753.25083732605,200,True,,304
1781088834.078976,4415.3711795806885,200,True,,532
1781088836.321238,3417.456865310669,200,True,,246
1781088830.4077592,9331.60376548767,200,True,,492
1781088836.304085,3642.9970264434814,200,True,,282
1781088834.190239,6528.491020202637,200,True,,305
1781088836.2710001,5689.980745315552,200,True,,655
1781088840.739905,2734.766960144043,200,True,,292
1781088840.9483368,2984.990358352661,200,True,,234
1781088841.494842,2476.7918586730957,200,True,,82
1781088841.494601,2952.8629779815674,200,True,,167
1781088829.747817,14700.207948684692,200,True,,737
1781088837.4737659,8625.33712387085,200,True,,235
1781088843.7199621,2561.786890029907,200,True,,215
1781088842.96245,4345.913887023926,200,True,,486
1781088837.304446,10457.03125,200,True,,489
1781088844.475948,3713.8829231262207,200,True,,414
1781088844.93805,3255.45597076416,200,True,,323
1781088846.9728909,2594.3260192871094,200,True,,305
1781088841.740562,9198.663234710693,200,True,,730
1781088847.1004329,3840.5942916870117,200,True,,453
1781088847.448361,4553.399085998535,200,True,,665
1781088849.282945,4290.260076522827,200,True,,647
1781088848.3095438,5488.017320632935,200,True,,901
1781088849.191039,5421.154975891113,200,True,,660
1781088846.4491808,8282.105207443237,200,True,,433
1781088849.193873,5597.918272018433,200,True,,712
1781088855.6127439,2247.3690509796143,200,True,,132
1781088852.56845,5813.107967376709,200,True,,119
1781088849.762141,9006.440877914429,200,True,,720
1781088855.002914,4027.9340744018555,200,True,,430
1781088852.940418,7141.036033630371,200,True,,239
1781088858.862103,2806.8459033966064,200,True,,305
1781088854.798464,7005.645990371704,200,True,,239
1781088856.57394,5990.09895324707,200,True,,545
1781088855.792934,7231.603145599365,200,True,,98
1781088862.6698282,2455.995798110962,200,True,,108
1781088862.805275,2980.746269226074,200,True,,234
1781088861.389055,5219.408750534058,200,True,,734
1781088851.9423842,14667.149782180786,200,True,,679
1781088862.032094,4946.4380741119385,200,True,,688
1781088864.025748,2988.7001514434814,200,True,,304
1781088856.731471,10288.65385055542,200,False,"HTTP200|{""code"":100,""data"":null,""message"":""ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\\'dashsc",
1781088860.770379,6438.794851303101,200,True,,243
1781088865.5652502,3332.8959941864014,200,True,,545
1781088862.081728,8054.592132568359,200,True,,397
1781088867.6105118,3041.307210922241,200,True,,162
1781088866.126488,4525.511026382446,200,True,,573
1781088869.021369,2382.413864135742,200,True,,239
1781088869.609366,4461.583852767944,200,True,,426
1781088866.78718,8666.10312461853,200,True,,356
1781088871.8993201,3591.1688804626465,200,True,,201
1781088868.0161998,9123.6891746521,200,True,,108
1781088869.211274,9249.628067016602,200,True,,382
1781088869.979028,9180.427074432373,200,True,,239
