timestamp,container,cpu_percent,mem_usage,mem_limit,net_io
2026-06-10 16:23:48,docker-worker_beat-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:23:48,docker-web-1,0.20%,126.1MiB / 11.67GiB,982kB / 126B
2026-06-10 16:23:48,docker-db_postgres-1,1.07%,15.98MiB / 11.67GiB,41.1MB / 458MB
2026-06-10 16:23:48,docker-sandbox-1,0.00%,61.56MiB / 11.67GiB,476kB / 1.45kB
2026-06-10 16:23:48,docker-weaviate-1,1.28%,127.2MiB / 11.67GiB,988kB / 2.41kB
2026-06-10 16:23:48,docker-ssrf_proxy-1,0.01%,13.08MiB / 11.67GiB,1.46MB / 1.89kB
2026-06-10 16:24:21,docker-ragflow-cpu-1,233.17%,5.806GiB / 11.67GiB,2.26GB / 817MB
2026-06-10 16:24:21,docker-redis-1,0.83%,6.598MiB / 11.67GiB,24.7MB / 6.35MB
2026-06-10 16:24:21,docker-mysql-1,0.34%,111MiB / 11.67GiB,394MB / 1.04GB
2026-06-10 16:24:21,docker-minio-1,0.98%,1.249GiB / 11.67GiB,702MB / 1.44GB
2026-06-10 16:24:21,docker-es01-1,0.34%,1.024GiB / 8GiB,96.5MB / 727MB
2026-06-10 16:24:21,docker-nginx-1,0.00%,9.488MiB / 11.67GiB,983kB / 126B
2026-06-10 16:24:21,docker-plugin_daemon-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:24:21,docker-api-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:24:21,docker-worker-1,0.00%,267.5MiB / 11.67GiB,2.27kB / 554B
2026-06-10 16:24:21,docker-worker_beat-1,100.26%,267.5MiB / 11.67GiB,1.83kB / 424B
2026-06-10 16:24:21,docker-web-1,0.15%,126.2MiB / 11.67GiB,983kB / 126B
2026-06-10 16:24:21,docker-db_postgres-1,1.19%,15.96MiB / 11.67GiB,41.1MB / 458MB
2026-06-10 16:24:21,docker-sandbox-1,1.29%,61.37MiB / 11.67GiB,476kB / 1.45kB
2026-06-10 16:24:21,docker-weaviate-1,1.08%,127.2MiB / 11.67GiB,989kB / 2.41kB
2026-06-10 16:24:21,docker-ssrf_proxy-1,0.02%,13.08MiB / 11.67GiB,1.46MB / 1.89kB
2026-06-10 16:24:53,docker-ragflow-cpu-1,254.62%,5.807GiB / 11.67GiB,2.36GB / 819MB
2026-06-10 16:24:53,docker-redis-1,0.07%,6.598MiB / 11.67GiB,24.7MB / 6.38MB
2026-06-10 16:24:53,docker-mysql-1,0.81%,111MiB / 11.67GiB,395MB / 1.04GB
2026-06-10 16:24:53,docker-minio-1,0.06%,1.249GiB / 11.67GiB,702MB / 1.44GB
2026-06-10 16:24:53,docker-es01-1,15.71%,1.024GiB / 8GiB,97.3MB / 822MB
2026-06-10 16:24:53,docker-nginx-1,0.00%,9.488MiB / 11.67GiB,985kB / 126B
2026-06-10 16:24:53,docker-plugin_daemon-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:24:53,docker-api-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:24:53,docker-worker-1,0.00%,267.5MiB / 11.67GiB,1.91kB / 424B
2026-06-10 16:24:53,docker-worker_beat-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:24:53,docker-web-1,0.23%,126.1MiB / 11.67GiB,984kB / 126B
2026-06-10 16:24:53,docker-db_postgres-1,0.85%,15.96MiB / 11.67GiB,41.2MB / 459MB
2026-06-10 16:24:53,docker-sandbox-1,0.00%,61.38MiB / 11.67GiB,477kB / 1.45kB
2026-06-10 16:24:53,docker-weaviate-1,1.28%,127.2MiB / 11.67GiB,991kB / 2.41kB
