timestamp,latency_ms,status_code,success,error,tokens_used
1781080501.450421,14386.367797851562,200,True,,449
1781080507.4657788,13447.142362594604,200,True,,489
1781080513.466489,9534.358024597168,200,True,,384
1781080519.467596,9987.543106079102,200,True,,391
1781080525.468652,10718.232154846191,200,True,,389
1781080516.838331,22932.469844818115,200,True,,1179
1781080522.9147751,23146.36278152466,200,True,,1145
1781080526.0021288,25198.278188705444,200,True,,1246
1781080530.4563599,21742.025136947632,200,True,,1160
1781080540.7713962,16882.50184059143,200,True,,1274
1781080548.062316,12906.353950500488,200,True,,970
1781080538.188214,25823.56286048889,200,True,,1146
1781080553.1995368,19616.047143936157,200,True,,880
1781080554.2013912,21125.43272972107,200,True,,1095
